"probeID"	"GeneSymbol"
"11715715_x_at"	"VOPP1"
"11715716_at"	"MSN"
"11715717_s_at"	"MSN"
"11715718_a_at"	"ZNHIT1"
"11715719_x_at"	"CDC37"
"11715720_s_at"	"C1orf43"
"11715721_a_at"	"GOLM1"
"11715722_a_at"	"GOLM1"
"11715723_s_at"	"ITM2B"
"11715724_s_at"	"ITM2B"
"11715725_x_at"	"ITM2B"
"11715726_a_at"	"OAZ2"
"11715727_s_at"	"OAZ2"
"11715728_a_at"	"ITGB1"
"11715729_s_at"	"CYP19A1"
"11715730_at"	"CYP19A1"
"11715731_at"	"CYP19A1"
"11715732_at"	"PSMB3"
"11715733_a_at"	"NIPSNAP1"
"11715734_a_at"	"NIPSNAP1"
"11715735_a_at"	"TMEM123"
"11715736_s_at"	"CASC3"
"11715737_at"	"CASC3"
"11715738_s_at"	"SNX3"
"11715739_s_at"	"PLPP3"
"11715740_a_at"	"RCC2"
"11715741_at"	"RCC2"
"11715742_s_at"	"RCC2"
"11715743_x_at"	"RCC2"
"11715744_a_at"	"ATP5J"
"11715745_a_at"	"KIAA1191"
"11715746_a_at"	"MINOS1-NBL1"
"11715746_a_at"	"NBL1"
"11715747_a_at"	"MINOS1-NBL1"
"11715747_a_at"	"NBL1"
"11715748_at"	"SSRP1"
"11715749_s_at"	"SSRP1"
"11715750_at"	"SSRP1"
"11715751_a_at"	"DPYSL3"
"11715752_at"	"TSPAN7"
"11715753_a_at"	"TSPAN7"
"11715754_at"	"PRL"
"11715755_a_at"	"ATIC"
"11715756_x_at"	"UBL5"
"11715757_a_at"	"RGS2"
"11715758_at"	"TTC1"
"11715759_at"	"RPL36AL"
"11715760_x_at"	"RPL36AL"
"11715761_a_at"	"TBC1D14"
"11715762_s_at"	"AP1M1"
"11715763_a_at"	"PODXL"
"11715764_a_at"	"PODXL"
"11715765_a_at"	"DUSP1"
"11715766_a_at"	"DUSP1"
"11715767_s_at"	"ACAA2"
"11715768_x_at"	"SIRT2"
"11715769_a_at"	"SET"
"11715770_x_at"	"SET"
"11715771_a_at"	"MRPL13"
"11715772_x_at"	"MRPL13"
"11715773_a_at"	"IMP3"
"11715774_s_at"	"IMP3"
"11715775_a_at"	"HSPB8"
"11715776_a_at"	"HSPB8"
"11715777_s_at"	"LUZP6"
"11715777_s_at"	"MTPN"
"11715778_a_at"	"LUZP6"
"11715778_a_at"	"MTPN"
"11715779_a_at"	"---"
"11715780_x_at"	"---"
"11715817_at"	"ZFP36L2"
"11715819_a_at"	"LRPAP1"
"11715820_a_at"	"BUD31"
"11715821_a_at"	"SYPL1"
"11715822_s_at"	"SYPL1"
"11715823_x_at"	"SYPL1"
"11715824_at"	"NOP10"
"11715825_a_at"	"PRMT1"
"11715826_x_at"	"HMG20B"
"11715827_s_at"	"M6PR"
"11715828_a_at"	"M6PR"
"11715829_at"	"PLS3"
"11715830_s_at"	"PLS3"
"11715831_s_at"	"SURF4"
"11715832_s_at"	"SURF4"
"11715833_a_at"	"RUVBL1"
"11715834_x_at"	"RUVBL1"
"11715835_a_at"	"PSMA3"
"11715836_x_at"	"PSMA3"
"11715837_a_at"	"HEXB"
"11715838_a_at"	"NEU1"
"11715839_a_at"	"SDHC"
"11715840_s_at"	"SDHC"
"11715841_at"	"MAPK1"
"11715842_a_at"	"MAPK1"
"11715843_at"	"MAPK1"
"11715844_s_at"	"PTPRF"
"11715845_s_at"	"PTPRF"
"11715846_at"	"EFEMP1"
"11715847_x_at"	"PLAT"
"11715848_a_at"	"ATP5G2"
"11715849_a_at"	"APOLD1"
"11715849_a_at"	"DDX47"
"11715850_x_at"	"C6orf48"
"11715851_s_at"	"CLU"
"11715852_at"	"PDGFRB"
