ID	gene_symbol	n
11732576_s_at	NANOG	3
11732576_s_at	NANOGP1	3
11732576_s_at	NANOGP8	3
11732659_s_at	LOC102723655	8
11732659_s_at	LOC102723713	8
11732659_s_at	TP53TG3	8
11732659_s_at	TP53TG3B	8
11732659_s_at	TP53TG3C	8
11732659_s_at	TP53TG3D	8
11732659_s_at	TP53TG3E	8
11732659_s_at	TP53TG3F	8
11732660_s_at	HSFY1	2
11732660_s_at	HSFY2	2
11732667_x_at	RSPH10B	2
11732667_x_at	RSPH10B2	2
11732668_a_at	APITD1-CORT	2
11732668_a_at	CORT	2
11732731_at	HOXD3	2
11732731_at	HOXD4	2
11732770_s_at	FOXD4	4
11732770_s_at	FOXD4L1	4
11732770_s_at	FOXD4L3	4
11732770_s_at	FOXD4L6	4
11732831_s_at	RNF216P1	2
11732831_s_at	XKR8	2
11732850_x_at	CTAGE4	4
11732850_x_at	CTAGE8	4
11732850_x_at	CTAGE9	4
11732850_x_at	LOC101060696	4
11732875_s_at	GAGE1	9
11732875_s_at	GAGE13	9
11732875_s_at	GAGE2A	9
11732875_s_at	GAGE2B	9
11732875_s_at	GAGE2C	9
11732875_s_at	GAGE2D	9
11732875_s_at	GAGE2E	9
11732875_s_at	GAGE8	9
11732875_s_at	LOC105373200	9
11732899_s_at	LOC105369243	7
11732899_s_at	SLX1A-SULT1A3	7
11732899_s_at	SLX1B-SULT1A4	7
11732899_s_at	SULT1A1	7
